bowler,total_balls,total_runs,total_wickets,boundaries_conceded,dots,economy,dot_pct,wicket_rate
A Adekunle,314,221,15,16,167,4.222929936305732,0.5318471337579618,0.04777070063694268
A Ahmadhel,12,21,1,3,5,10.5,0.4166666666666667,0.08333333333333333
A Aitken,198,150,4,16,119,4.545454545454546,0.601010101010101,0.020202020202020204
A Aitken-Drummond,84,65,5,7,42,4.642857142857143,0.5,0.05952380952380952
A Akhigbe,235,190,11,24,139,4.851063829787234,0.5914893617021276,0.04680851063829787
A Akurut,44,17,3,1,30,2.3181818181818183,0.6818181818181818,0.06818181818181818
A Alexander,108,105,9,11,52,5.833333333333333,0.48148148148148145,0.08333333333333333
A Alfonso,26,15,1,1,17,3.4615384615384617,0.6538461538461539,0.038461538461538464
A Amado,18,20,1,0,13,6.666666666666667,0.7222222222222222,0.05555555555555555
A Andrews,62,64,5,6,27,6.193548387096774,0.43548387096774194,0.08064516129032258
A Andriani,162,93,15,9,94,3.4444444444444446,0.5802469135802469,0.09259259259259259
A Anlezark,203,181,5,17,113,5.34975369458128,0.5566502463054187,0.024630541871921183
A Ashok,122,148,4,18,40,7.278688524590164,0.32786885245901637,0.03278688524590164
A Ashokan,387,463,19,46,152,7.178294573643411,0.39276485788113696,0.04909560723514212
A Athanaze,136,87,5,9,82,3.8382352941176467,0.6029411764705882,0.03676470588235294
A Augastin,132,115,9,11,72,5.2272727272727275,0.5454545454545454,0.06818181818181818
A Awasthi,27,75,1,10,5,16.666666666666668,0.18518518518518517,0.037037037037037035
A Balbirnie,36,48,1,8,14,8.0,0.3888888888888889,0.027777777777777776
A Beggs,210,171,5,19,114,4.885714285714286,0.5428571428571428,0.023809523809523808
A Beresford-Peirse,202,261,5,31,90,7.752475247524753,0.44554455445544555,0.024752475247524754
A Bester,181,168,18,19,91,5.569060773480663,0.5027624309392266,0.09944751381215469
A Bhargava,13,15,1,3,8,6.923076923076923,0.6153846153846154,0.07692307692307693
A Bhattarai,577,428,20,53,369,4.450606585788561,0.6395147313691508,0.03466204506065858
A Bidari,26,17,1,1,14,3.9230769230769234,0.5384615384615384,0.038461538461538464
A Bierwisch,104,68,8,5,71,3.9230769230769234,0.6826923076923077,0.07692307692307693
A Bishnoi,235,318,12,39,114,8.119148936170212,0.4851063829787234,0.05106382978723404
A Bohara,1265,1535,78,162,409,7.280632411067193,0.3233201581027668,0.0616600790513834
A Bonora,56,45,1,4,30,4.821428571428571,0.5357142857142857,0.017857142857142856
A Bosch,311,318,9,37,120,6.135048231511254,0.3858520900321543,0.028938906752411574
A Brindle,928,706,38,56,460,4.564655172413794,0.4956896551724138,0.040948275862068964
A Brown-Carrera,227,158,12,6,151,4.176211453744493,0.6651982378854625,0.05286343612334802
A Bulow,290,271,9,34,166,5.606896551724137,0.5724137931034483,0.03103448275862069
A Busing-Volschenk,43,55,4,7,14,7.674418604651162,0.32558139534883723,0.09302325581395349
A Canning,1736,1368,44,140,1027,4.728110599078342,0.591589861751152,0.02534562211981567
A Capsey,1480,1249,47,117,707,5.063513513513514,0.4777027027027027,0.03175675675675676
A Carter,122,105,5,11,71,5.163934426229509,0.5819672131147541,0.040983606557377046
A Cassim,110,70,3,6,69,3.8181818181818183,0.6272727272727273,0.02727272727272727
A Cawley,237,225,7,27,128,5.69620253164557,0.540084388185654,0.029535864978902954
A Chandel,703,550,36,55,378,4.694167852062589,0.5376955903271693,0.051209103840682786
A Charles,16,13,1,0,12,4.875,0.75,0.0625
A Chaubey,89,133,3,17,42,8.96629213483146,0.47191011235955055,0.033707865168539325
A Chaudhary,112,135,3,18,49,7.232142857142857,0.4375,0.026785714285714284
A Chenthamara,338,321,22,36,163,5.6982248520710055,0.4822485207100592,0.0650887573964497
A Chilia,65,53,1,4,35,4.892307692307692,0.5384615384615384,0.015384615384615385
A Codrington,187,169,6,23,113,5.422459893048128,0.6042780748663101,0.03208556149732621
A Conteh,129,142,10,12,47,6.604651162790698,0.3643410852713178,0.07751937984496124
A Cossa,69,83,3,9,30,7.217391304347826,0.43478260869565216,0.043478260869565216
A Curavic,6,11,1,1,2,11.0,0.3333333333333333,0.16666666666666666
A Dagar,421,230,13,15,267,3.2779097387173395,0.6342042755344418,0.030878859857482184
A Dalzell,729,681,24,82,408,5.604938271604938,0.5596707818930041,0.03292181069958848
A Dananjaya,3294,3055,104,302,1528,5.564663023679417,0.46387370977534914,0.031572556162720096
A Daniel,662,497,15,42,362,4.504531722054381,0.5468277945619335,0.022658610271903322
A Das,332,275,16,24,155,4.969879518072289,0.46686746987951805,0.04819277108433735
A Davidson-Soler,194,152,5,11,117,4.701030927835051,0.6030927835051546,0.02577319587628866
